team,over,ball_number,powerplays_from,powerplays_to,powerplays_type,striker,bowler,non_striker,batter_runs,extra_runs,total_runs,review_by,review_umpire,review_batter,review_decision,review_type,wides,legbyes,byes,player_out,wicket_kind,overs_deliveries_replacements.match_in,overs_deliveries_replacements.match_out,overs_deliveries_replacements.match_team,overs_deliveries_replacements.match_reason,fielders_name,target_overs,target_runs,current_team_total
Sunrisers Hyderabad,0,1,0.1,5.6,mandatory,TM Head,JA Duffy,Abhishek Sharma,0,0,0,,,,,,,,,,,,,,,,,,0
Sunrisers Hyderabad,0,2,0.1,5.6,mandatory,TM Head,JA Duffy,Abhishek Sharma,1,0,1,,,,,,,,,,,,,,,,,,1
Sunrisers Hyderabad,0,3,0.1,5.6,mandatory,Abhishek Sharma,JA Duffy,TM Head,0,0,0,Royal Challengers Bengaluru,J Madanagopal,Abhishek Sharma,struck down,wicket,,,,,,,,,,,,,1
Sunrisers Hyderabad,0,4,0.1,5.6,mandatory,Abhishek Sharma,JA Duffy,TM Head,6,0,6,,,,,,,,,,,,,,,,,,7
Sunrisers Hyderabad,0,5,0.1,5.6,mandatory,Abhishek Sharma,JA Duffy,TM Head,0,0,0,,,,,,,,,,,,,,,,,,7
Sunrisers Hyderabad,0,6,0.1,5.6,mandatory,Abhishek Sharma,JA Duffy,TM Head,0,0,0,,,,,,,,,,,,,,,,,,7
Sunrisers Hyderabad,1,1,0.1,5.6,mandatory,TM Head,B Kumar,Abhishek Sharma,1,0,1,,,,,,,,,,,,,,,,,,8
Sunrisers Hyderabad,1,2,0.1,5.6,mandatory,Abhishek Sharma,B Kumar,TM Head,1,0,1,,,,,,,,,,,,,,,,,,9
Sunrisers Hyderabad,1,3,0.1,5.6,mandatory,TM Head,B Kumar,Abhishek Sharma,1,0,1,,,,,,,,,,,,,,,,,,10
Sunrisers Hyderabad,1,4,0.1,5.6,mandatory,Abhishek Sharma,B Kumar,TM Head,0,1,1,,,,,,1.0,,,,,,,,,,,,11
Sunrisers Hyderabad,1,5,0.1,5.6,mandatory,Abhishek Sharma,B Kumar,TM Head,0,0,0,,,,,,,,,,,,,,,,,,11
Sunrisers Hyderabad,1,6,0.1,5.6,mandatory,Abhishek Sharma,B Kumar,TM Head,0,1,1,,,,,,1.0,,,,,,,,,,,,12
Sunrisers Hyderabad,1,7,0.1,5.6,mandatory,Abhishek Sharma,B Kumar,TM Head,0,1,1,,,,,,,1.0,,,,,,,,,,,13
Sunrisers Hyderabad,1,8,0.1,5.6,mandatory,TM Head,B Kumar,Abhishek Sharma,4,0,4,,,,,,,,,,,,,,,,,,17
Sunrisers Hyderabad,2,1,0.1,5.6,mandatory,Abhishek Sharma,JA Duffy,TM Head,0,1,1,,,,,,1.0,,,,,,,,,,,,18
Sunrisers Hyderabad,2,2,0.1,5.6,mandatory,Abhishek Sharma,JA Duffy,TM Head,0,0,0,,,,,,,,,Abhishek Sharma,caught,,,,,JM Sharma,,,18
Sunrisers Hyderabad,2,3,0.1,5.6,mandatory,Ishan Kishan,JA Duffy,TM Head,1,0,1,,,,,,,,,,,,,,,,,,19
Sunrisers Hyderabad,2,4,0.1,5.6,mandatory,TM Head,JA Duffy,Ishan Kishan,0,0,0,,,,,,,,,,,,,,,,,,19
Sunrisers Hyderabad,2,5,0.1,5.6,mandatory,TM Head,JA Duffy,Ishan Kishan,0,0,0,,,,,,,,,,,,,,,,,,19
Sunrisers Hyderabad,2,6,0.1,5.6,mandatory,TM Head,JA Duffy,Ishan Kishan,4,0,4,,,,,,,,,,,,,,,,,,23
Sunrisers Hyderabad,2,7,0.1,5.6,mandatory,TM Head,JA Duffy,Ishan Kishan,0,0,0,,,,,,,,,TM Head,caught,,,,,PD Salt,,,23
Sunrisers Hyderabad,3,1,0.1,5.6,mandatory,Ishan Kishan,B Kumar,Nithish Kumar Reddy,4,0,4,,,,,,,,,,,,,,,,,,27
Sunrisers Hyderabad,3,2,0.1,5.6,mandatory,Ishan Kishan,B Kumar,Nithish Kumar Reddy,1,0,1,,,,,,,,,,,,,,,,,,28
Sunrisers Hyderabad,3,3,0.1,5.6,mandatory,Nithish Kumar Reddy,B Kumar,Ishan Kishan,0,0,0,,,,,,,,,,,,,,,,,,28
Sunrisers Hyderabad,3,4,0.1,5.6,mandatory,Nithish Kumar Reddy,B Kumar,Ishan Kishan,0,0,0,,,,,,,,,,,,,,,,,,28
Sunrisers Hyderabad,3,5,0.1,5.6,mandatory,Nithish Kumar Reddy,B Kumar,Ishan Kishan,0,0,0,,,,,,,,,,,,,,,,,,28
Sunrisers Hyderabad,3,6,0.1,5.6,mandatory,Nithish Kumar Reddy,B Kumar,Ishan Kishan,1,0,1,,,,,,,,,,,,,,,,,,29
Sunrisers Hyderabad,4,1,0.1,5.6,mandatory,Nithish Kumar Reddy,JA Duffy,Ishan Kishan,0,0,0,,,,,,,,,,,,,,,,,,29
Sunrisers Hyderabad,4,2,0.1,5.6,mandatory,Nithish Kumar Reddy,JA Duffy,Ishan Kishan,0,0,0,,,,,,,,,Nithish Kumar Reddy,caught,,,,,Abhinandan Singh,,,29
Sunrisers Hyderabad,4,3,0.1,5.6,mandatory,H Klaasen,JA Duffy,Ishan Kishan,0,0,0,,,,,,,,,,,,,,,,,,29
Sunrisers Hyderabad,4,4,0.1,5.6,mandatory,H Klaasen,JA Duffy,Ishan Kishan,3,0,3,,,,,,,,,,,,,,,,,,32
Sunrisers Hyderabad,4,5,0.1,5.6,mandatory,Ishan Kishan,JA Duffy,H Klaasen,1,0,1,,,,,,,,,,,,,,,,,,33
Sunrisers Hyderabad,4,6,0.1,5.6,mandatory,H Klaasen,JA Duffy,Ishan Kishan,0,0,0,,,,,,,,,,,,,,,,,,33
Sunrisers Hyderabad,5,1,0.1,5.6,mandatory,Ishan Kishan,Abhinandan Singh,H Klaasen,0,0,0,,,,,,,,,,,,,,,,,,33
Sunrisers Hyderabad,5,2,0.1,5.6,mandatory,Ishan Kishan,Abhinandan Singh,H Klaasen,6,0,6,,,,,,,,,,,,,,,,,,39
Sunrisers Hyderabad,5,3,0.1,5.6,mandatory,Ishan Kishan,Abhinandan Singh,H Klaasen,4,0,4,,,,,,,,,,,,,,,,,,43
Sunrisers Hyderabad,5,4,0.1,5.6,mandatory,Ishan Kishan,Abhinandan Singh,H Klaasen,6,0,6,,,,,,,,,,,,,,,,,,49
